country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,95.8,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2001,96.3,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2002,96.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2003,97.2,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2004,97.6,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2005,98,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2006,98.3,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2007,98.6,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2008,98.8,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2009,99.05,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2010,99.2,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2011,99.4,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2012,99.5,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2013,99.6,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2014,99.7,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2015,99.8,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2016,99.8,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2017,99.8,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2018,99.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2019,99.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2020,99.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2021,99.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2022,99.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
ARG,Argentina,2023,99.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
IRN,Iran,2000,90.9,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
IRN,Iran,2001,92,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
IRN,Iran,2002,92.8,,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),wdi
