country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1960,2.8000000009548165E-09,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1961,2.8000000009548165E-09,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1962,-0.009999996999999998,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1963,5.50000000057449E-09,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1964,5.50000000057449E-09,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1965,0.009999999700000001,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1966,0.009999999800000003,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1967,0.0199999996,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1968,0.009999997900000002,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1969,0,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1970,0.010390002300000006,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1971,-0.009999997900000002,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1972,0.010000005400000012,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1973,0.09000000359999999,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1974,0.039999991700000015,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1975,-0.029999971400000103,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1976,3.3300004005000003,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1977,6.5,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1978,20.5,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1979,3.5,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1980,-54.6000061,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1981,-33.700012209999954,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1982,561.5,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1983,3630,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1984,22410,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1985,289800,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1986,183500,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1987,69400,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1988,3687000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1989,210182000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1990,3947999744,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1991,2889000000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1992,-3477999600,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1993,-5686640000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1994,-7914860000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1995,-1059485000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1996,-1767000000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1997,-6485300000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1998,-7530100000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,1999,-4900400000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2000,-1846455600,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2001,3508536600,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2002,46925977600,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2003,42166286700,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2004,33970641400,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2005,34605578200.000015,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2006,40233171000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2007,39290691700,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2008,42756802600,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2009,63205660800,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2010,48133965799.99997,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2011,36874825000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2012,51417598200,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2013,-3334320100,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2014,18506997500,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2015,-64006346900,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2016,-85547970100,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2017,-282393121900,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2018,-278553722300,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2019,693996867600,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2020,818234502300,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2021,1411867641500,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2022,814152088000,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
ARG,Argentina,2023,-1986282402400,,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),wdi,false
