country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1991,15.6294119952359,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1992,14.996369613203,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1993,12.6597128456204,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1994,11.3522592174249,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1995,11.768164076579,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1996,11.6850148424377,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1997,10.9138513906838,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1998,10.1006664259261,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,1999,10.1776110572152,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2000,9.69974370882571,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2001,9.78910158004114,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2002,8.90341378473608,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2003,10.6888634727574,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2004,10.5561842194875,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2005,10.370793459862,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2006,10.3740185102897,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
ARG,Argentina,2007,10.1812024691485,,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",wdi
