country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1985,135.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,135.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,135.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,135.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,135.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,121.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,120.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,125.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,138.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,139.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,147.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,144.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,140.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,147.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2000,154.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2001,156.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2002,160.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2003,159.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2004,157.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2005,161.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2006,160.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2007,170.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2008,169.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2009,170.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2010,171.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2011,172.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2012,180.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2013,178.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2014,186.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2015,190.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2016,193.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2017,196.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2018,200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2019,205.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2020,201.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2021,202.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2022,203.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2023,202.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2024,202.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1961,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1962,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1963,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1964,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1965,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1966,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1967,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1968,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1969,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1970,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1971,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1972,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1973,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1974,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1975,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1976,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1977,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1978,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1979,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1980,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1981,0.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1982,3.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1983,3.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1984,3.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1985,3.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1986,3.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1987,3.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1988,30.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1989,30.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1990,32.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1991,38.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1992,41.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1993,44.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1994,53.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1995,54.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
