source_file,date,title,title_fa,description_fa,note
iran.csv,1901-05-28,D'Arcy Oil Concession,امتیاز نفتی دارسی,ویلیام ناکس دارسی امتیاز اکتشاف نفت را برای شصت سال در بیشتر قلمرو پارس به دست آورد؛ این امتیاز خاستگاه اقتصاد نفتی کشور بود.,
iran.csv,1908-05-26,First major oil strike at Masjed Soleyman,نخستین اکتشاف بزرگ نفت در مسجد سلیمان,کشف ذخایر نفتی قابل بهره‌برداری تجاری در خوزستان، که به تأسیس شرکت نفت انگلیس و پارس در سال 1909 میلادی انجامید.,
iran.csv,1925-12-15,Pahlavi dynasty founded,تأسیس سلسله پهلوی,رضاخان به‌عنوان رضاشاه پهلوی تاجگذاری کرد و برنامه نوسازی و صنعتی‌سازی دولت‌محور را آغاز کرد.,
iran.csv,1927-01-01,Bank Melli Iran established,تأسیس بانک ملی ایران,نخستین بانک ملی ایران تأسیس شد و وظیفه انتشار پول را که پیش از آن بر عهده بانک شاهنشاهی انگلیس در پارس بود، بر عهده گرفت.,
iran.csv,1938-08-26,Trans-Iranian Railway completed,تکمیل راه‌آهن سراسری ایران,راه‌آهنی با تأمین مالی دولتی از خلیج فارس تا دریای خزر، که عمدتاً از محل مالیات‌های داخلی بر مصرف قند و چای تأمین مالی شد، نه وام‌های خارجی.,
iran.csv,1941-08-25,Anglo-Soviet invasion of Iran,اشغال ایران توسط بریتانیا و شوروی,بریتانیا و اتحاد جماهیر شوروی به‌طور مشترک برای تأمین امنیت خطوط تدارکاتی نفت و دالان ایران به کشور حمله کردند؛ رضاشاه به نفع پسرش محمدرضا پهلوی از سلطنت کناره‌گیری کرد.,
iran.csv,1949-02-08,Plan Organization established; First Seven-Year Plan,تأسیس سازمان برنامه؛ نخستین برنامه هفت‌ساله,سازمان برنامه برای طراحی و هماهنگی برنامه‌های توسعه ملی ایجاد شد و دوران برنامه‌ریزی رسمی پنج‌ساله و هفت‌ساله آغاز شد.,
iran.csv,1951-03-15,Oil industry nationalized,ملی شدن صنعت نفت,مجلس شورای ملی به ملی شدن شرکت نفت ایران و انگلیس در دوران نخست‌وزیری محمد مصدق رأی داد؛ به دنبال آن شرکت ملی نفت ایران تأسیس شد.,
iran.csv,1953-08-19,1953 coup d'état,کودتای 28 مرداد 1332,کودتایی با پشتیبانی سازمان سیا و ام‌آی۶ نخست‌وزیر مصدق را برکنار و اختیارات اجرایی شاه را بازگرداند و به بن‌بست ملی شدن نفت پایان داد.,
iran.csv,1954-08-19,Consortium Agreement,قرارداد کنسرسیوم نفتی,کنسرسیومی از شرکت‌های بزرگ نفتی غربی عملیات نفتی ایران را بر اساس قراردادی مبتنی بر تقسیم سود از سر گرفت و به مناقشه ملی شدن نفت پایان داد.,
iran.csv,1963-01-26,White Revolution launched,آغاز انقلاب سفید,همه‌پرسی شاه بسته‌ای از اصلاحات از جمله اصلاحات ارضی، ملی شدن جنگل‌ها و سهیم شدن کارگران صنعتی در سود را تصویب کرد.,
