country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,505105.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1962,544665.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1963,524770.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1964,523946.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1965,538120.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1966,445470.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1967,334710.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1968,287500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1969,413560.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1970,459320.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1971,373370.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1972,405300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1973,462750.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1974,480100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1975,510570.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1976,419250.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1977,523250.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1978,611950.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1979,674250.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1980,572700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1981,285450.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1982,402750.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1983,346850.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1984,473150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1985,450450.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,342200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,276650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,495700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,505100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,548568.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,542400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,533200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,306380.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,488382.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,684447.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,973500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,892343.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,882247.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,644126.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2000,336193.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2001,392266.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2002,168883.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2003,149880.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2004,259083.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2005,378892.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2006,308639.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2007,397347.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2008,307724.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2009,294181.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2010,445350.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2011,627975.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2012,532811.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2013,347355.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2014,517385.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2015,460094.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2016,381284.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2017,257871.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2018,323813.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2019,337365.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2020,417996.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2021,410759.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2022,484488.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2023,516182.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2024,626731.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1961,349036.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1962,366897.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1963,374821.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1964,374000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1965,376000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1966,350000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1967,304000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1968,344000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1969,386000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1970,324000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1971,309160.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1972,342900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1973,348700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1974,371500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1975,292300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1976,297100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1977,318000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1978,281800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1979,176200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1980,123000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
