date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1958-08-04,TUR,policy-enacted,Devaluation and first IMF Stabilization Program,,"Turkey agrees its first IMF/OEEC stabilization program after a severe balance-of-payments crisis, carrying out a de facto devaluation to about TL9/$1, credit ceilings, and decontrol of foreign trade, backed by $359m in Western financing.",,fx;fiscal;trade,https://history.state.gov/historicaldocuments/frus1958-60v10p2/d322,US Department of State — Foreign Relations of the United States 1958-1960
1960-05-27,TUR,political-event,Military coup overthrows Menderes government,,"Young officers overthrow the Democrat Party government amid economic hardship and inflation after Marshall Plan/Truman Doctrine aid dried up; Prime Minister Adnan Menderes is later executed, beginning a pattern of military intervention in Turkish economic policy.",,fiscal;fx,https://www.britannica.com/place/Turkey/The-military-coup-of-1960,Encyclopaedia Britannica
1979-06-19,TUR,policy-enacted,IMF standby arrangement amid pre-Özal crisis,,Demirel government secures IMF backing as inflation and balance-of-payments pressure mount ahead of the more sweeping January 1980 liberalization program.,,fx;fiscal,https://www.imf.org/en/countries/tur,IMF Turkey country page
1980-01-24,TUR,policy-enacted,Özal liberalization program,,"Turgut Özal's ""24 January Decisions"" shift Turkey from import-substitution to export-oriented, market-liberal policy following a severe balance-of-payments crisis.",,trade;fx;fiscal,https://en.wikipedia.org/wiki/Turgut_%C3%96zal,Wikipedia — Turgut Özal (cross-check)
1980-09-12,TUR,political-event,Military coup enforces economic stabilization,,"General Kenan Evren's coup topples the civilian government amid political violence, but retains Turgut Özal to implement and enforce the January 1980 liberalization program under military rule.",,fiscal;trade,https://en.wikipedia.org/wiki/1980_Turkish_coup_d%27%C3%A9tat,Wikipedia — 1980 Turkish coup d'état (cross-check)
1989-08-11,TUR,policy-enacted,Capital account liberalization,,"Turkey removes most restrictions on capital flows and currency convertibility, exposing the economy to volatile short-term capital.",,fx;banking,https://www.imf.org/en/countries/tur,IMF Turkey country page
1994-04-05,TUR,economic-event,1994 currency crisis,,Lira loses over half its value amid fiscal imbalances and loss of investor confidence; IMF standby program follows.,,fx;fiscal,https://en.wikipedia.org/wiki/1994_economic_crisis_in_Turkey,Wikipedia — 1994 Turkish economic crisis (cross-check)
1996-01-01,TUR,institutional-change,EU-Turkey Customs Union takes effect,,"Customs union agreed by the Turkey-EC Association Council enters into force, eliminating tariffs on industrial goods trade with the EU and anchoring two decades of trade liberalization.",,trade,https://www.ab.gov.tr/customs-union_46234_en.html,Republic of Türkiye — Ministry for EU Affairs
1999-08-17,TUR,catastrophe,İzmit earthquake,,"M7.6 earthquake strikes Turkey's industrial heartland near İzmit, a region responsible for over 40% of national manufacturing output at the time, killing over 17,000 people and destroying tens of thousands of buildings; economic damage estimates range from roughly $12-20 billion (OECD/World Bank) to as high as $23 billion, equivalent to some 7% of that year's GNP, exposing systemic construction-code violations that reshaped Turkish earthquake and building-insurance policy for decades.",,fiscal;labor,https://www.oecd.org/content/dam/oecd/en/publications/reports/2000/06/economic-effects-of-the-1999-turkish-earthquakes_g17a140f/233456804045.pdf,"OECD — ""Economic Effects of the 1999 Turkish Earthquakes"""
1999-12-09,TUR,policy-enacted,IMF exchange-rate-based disinflation program,,Turkey adopts an IMF-backed program pre-announcing a crawling-peg exchange rate to break chronic inflation; the program collapses amid bank runs in November 2000 and the February 2001 currency crisis.,,fx;inflation;banking,https://www.imf.org/en/countries/tur,IMF Turkey country page
