country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1990,7000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1991,2720.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1992,1848.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1993,1615.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1994,1684.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1995,1730.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1996,2957.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1997,3368.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1998,5245.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1999,4928.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2000,4594.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2001,5938.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2002,4306.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2003,2419.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2004,5985.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2005,5418.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2006,5020.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2007,6776.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2008,5125.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2009,10690.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2010,8787.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2011,6146.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2012,4484.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2013,5673.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2014,7368.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2015,7353.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2016,6798.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2017,7129.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2018,7285.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2019,7071.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
