country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,111000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1961,205000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1962,47000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1963,29000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1964,19000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1965,7000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1966,93000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1967,143000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1968,430000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1969,230000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1970,257000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1971,363000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1972,402000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1973,248000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1974,450000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1975,268000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1976,499000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1977,204000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1978,434000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1979,451000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1980,446000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1981,833000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1982,406000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1983,1309000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1984,724000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1985,485000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1986,219000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1987,217000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1988,71000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
ARG,Argentina,1989,6000000,,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),wdi
