country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,54.7317009,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2001,54.13408661,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2002,52.896492,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2003,54.32575989,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2004,48.47241592,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2005,50.83937454,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2006,52.45514297,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2007,53.99981689,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2008,54.33721542,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2009,60.05429459,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2010,58.72151566,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2011,60.14045334,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2012,62.14928055,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2013,63.45186996,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2014,65.37956238,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
ARG,Argentina,2015,66.21888733,,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),wdi
