country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
FRA,France,2012,16306,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
DEU,Germany,2012,12188,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
DEU,Germany,2022,19123.7,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
GRC,Greece,2007,6994,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
IRN,Iran,2010,802.7,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
ITA,Italy,2012,6918,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
KOR,South Korea,2012,3406,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
KOR,South Korea,2022,3234.9,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
NLD,Netherlands,2012,16639,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
PRT,Portugal,2011,8439,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
RUS,Russia,2010,6622,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
RUS,Russia,2020,5439,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
SAU,Saudi Arabia,2012,3447,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
ESP,Spain,2010,10110,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
ESP,Spain,2014,10579,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
ESP,Spain,2023,6953.2,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
SWE,Sweden,2014,15228,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
SWE,Sweden,2017,17480,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
SWE,Sweden,2022,14380,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
TUR,Turkey,2010,11911,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
GBR,United Kingdom,2010,7181,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
GBR,United Kingdom,2012,15280,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
GBR,United Kingdom,2014,10487,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
USA,United States,2007,12087,,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)",wdi
