country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,61.202,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1961,61.526,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1962,61.474,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1963,61.65,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1964,61.609,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1965,61.783,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1966,62.157,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1967,62.126,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1968,61.779,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1969,61.553,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1970,62.165,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1971,62.21,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1972,62.517,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1973,62.671,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1974,62.808,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1975,63.367,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1976,63.406,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1977,63.944,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1978,64.535,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1979,65.072,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1980,65.282,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1981,65.455,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1982,65.559,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1983,66.002,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1984,66.054,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1985,66.474,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1986,66.852,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1987,67.256,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1988,67.632,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1989,68.008,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1990,68.347,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1991,68.681,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1992,68.691,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1993,68.892,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1994,69.501,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1995,69.521,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1996,69.656,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1997,69.95,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1998,69.935,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,1999,70.263,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2000,70.498,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2001,70.637,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2002,70.704,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2003,70.796,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2004,71.5,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2005,71.767,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2006,72.021,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2007,71.574,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2008,72.192,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2009,72.449,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2010,72.542,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2011,72.739,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2012,72.851,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2013,72.963,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2014,73.303,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2015,73.367,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2016,73.044,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2017,73.791,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2018,73.951,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2019,74.163,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2020,72.981,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2021,71.113,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2022,73.249,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2023,74.805,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
ARG,Argentina,2024,74.976,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1960,43.938,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1961,44.512,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1962,44.411,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1963,45.642,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1964,46.224,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1965,46.805,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1966,47.437,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1967,48.099,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1968,48.227,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1969,49.515,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
IRN,Iran,1970,50.26,,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",wdi
