country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,15814.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1962,16476.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1963,13880.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1964,17329.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1965,16843.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1966,16843.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1967,16410.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1968,15835.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1969,17413.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1970,17969.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1971,17327.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1972,18651.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1973,16582.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1974,18865.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1975,18305.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1976,18241.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1977,18236.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1978,19006.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1979,19500.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1980,18892.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1981,19682.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1982,20932.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1983,19709.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1984,20910.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1985,20471.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,21717.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,24111.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,24933.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,24817.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,25142.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,23475.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,23376.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,18421.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
