country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1970,425548451.955787,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1971,759709053.375958,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1972,615591003.967279,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1973,896277751.112494,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1974,1308238022.09951,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1975,903517860.447078,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1976,511850028.226107,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1977,845088048.335997,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1978,923463585.851333,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1979,1372523302.78427,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1980,1678304628.0744,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1981,1457990929.25448,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1982,1188657439.39571,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1983,1471082613.52017,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1984,1799923245.46989,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1985,1087742527.47869,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1986,1271066647.39747,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1987,1271314295.8065,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1988,1402156316.54858,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1989,772414087.964,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1990,1351500270.50147,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1991,3863000429.48045,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1992,6960447981.62728,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1993,8414771863.06307,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1994,10403473787.1,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1995,8795160338.5379,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1996,9332669524.5,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1997,9105303471.49784,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1998,11514742892.914,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,1999,12257032036.44,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2000,12726174569.4,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2001,12839722430.52,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2002,3988842928.40618,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2003,4579703000.00678,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2004,4829932414.46608,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2005,6147752543.41906,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2006,8276227139.29315,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2007,10807776572.6183,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2008,14986157936.6764,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2009,15524002166.8099,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2010,18495499593.0454,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2011,25044026118.456,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2012,27749973043.2723,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2013,28254626630.7062,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2014,26250654225.5219,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2015,30652512478.7175,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2016,27576671454.3937,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2017,31276869360.7932,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2018,24944169422.8991,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2019,20778236310.9186,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2020,18923282005.2854,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
ARG,Argentina,2021,24056828336.1412,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
FRA,France,1970,4322531002.71642,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
FRA,France,1971,4669870960.10417,,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),wdi,false
