country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
FRA,France,2018,780.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,2019,770.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,2020,690.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,2021,690.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,2022,760.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,2023,760.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,2024,760.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1985,21110.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1986,19255.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1987,19940.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1988,19670.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1989,19045.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1990,18440.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1991,20490.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1992,19525.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1993,14680.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1994,14470.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1995,11423.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1996,10196.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1997,3749.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1998,4486.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,1999,5000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2000,4486.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2001,4486.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2002,3880.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2003,4197.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2004,4231.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2005,4226.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2006,4202.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2007,3426.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2008,3405.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2009,3259.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2010,2908.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2011,2855.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2012,2279.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2013,2212.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2014,2170.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2015,2032.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2016,2012.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2017,1920.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2018,1920.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2019,1890.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2020,1870.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2021,1800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2022,1570.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2023,1530.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
DEU,Germany,2024,1530.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1961,1000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1962,1000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1963,1000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1964,1000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1965,1000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1966,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1967,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1968,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1969,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1970,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1971,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1972,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1973,1200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1974,1100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
GRC,Greece,1975,1100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
