country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1961,10000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1962,10000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1963,11500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1964,10000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1965,10000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1966,13000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1967,11500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1968,13000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1969,13000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1970,10000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1971,7500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1972,5000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1973,5500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1974,6500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1975,6500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1976,6500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1977,6500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1978,6500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1979,6500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1980,8000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1981,11000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1982,14000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1983,17000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1984,20000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1985,23000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1986,26000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1987,28359.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1988,28912.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1989,22951.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1990,28000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1991,37795.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1992,43431.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1993,42368.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1994,19881.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1995,34951.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1996,42578.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1997,35385.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1998,38415.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1999,45200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2000,46297.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2001,30467.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2002,34712.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2003,35855.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2004,30432.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2005,54971.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2006,29423.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2007,37082.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2008,47706.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2009,69650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2010,52173.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2011,79294.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2012,81020.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2013,69620.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
