country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,189000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1962,279600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1963,266100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1964,344300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1965,378400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1966,333300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1967,327500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1968,287250.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1969,243500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1970,210500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1971,309800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1972,293800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1973,379000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1974,344500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1975,356800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1976,308830.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1977,367000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1978,428000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1979,392500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1980,279100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1981,196700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1982,179000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1983,125100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1984,145700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1985,146000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,173000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,238400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
