country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1970,96.12037,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
ARG,Argentina,1974,96.32869,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
ARG,Argentina,1975,96.09376,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
ARG,Argentina,1991,96.00714,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1984,74.43465,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1985,75.84309,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1986,77.71379,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1987,78.3658,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1988,80.23005,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1989,81.50243,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1990,86.91748,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1992,91.58669,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1997,89.40619,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,1999,83.59534,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2000,84.52041,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2002,94.65108,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2003,93.88835,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2004,95.66397,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2005,93.66697,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2006,94.24863,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2007,94.74009,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
IRN,Iran,2009,97.27738,,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",wdi
