country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1976,14098511824.5925,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1977,14887050111.8546,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1978,13598247290.9942,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1979,12901649733.2537,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1980,12379017177.8778,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1981,9989027577.44739,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1982,9571954681.92935,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1983,12433420053.8309,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1984,8871569831.9113,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1985,9547761978.04969,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1986,9031816464.73232,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1987,9351247189.38184,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1988,13319591326.0328,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1989,4123377719.13392,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1990,10968359886.6679,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1991,10338741140.3643,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1992,12608140324.1866,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1993,17604538045.8995,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1994,15726416288.1197,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1995,15374671991.333,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1996,20410609138.8601,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1997,18920193977.9247,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1998,16304340085.7402,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,1999,5854094639.33363,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2000,8009716019.9729,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2001,6346462444.15068,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2002,8054562567.9866,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2003,13392470787.7958,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2004,6082645145.68082,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2005,8619185546.38028,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2006,28872350839.3426,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2007,38630968399.6308,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2008,43213626289.0705,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2009,24572822579.7976,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2010,28415462780.9385,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2011,35480122848.8409,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2012,25288520888.9538,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2013,17793993054.9176,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
ARG,Argentina,2014,18405066827.3792,,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),wdi,false
