country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1976,1.2722422563672315,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1977,1.9830577094370114,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1978,2.0842351475859524,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1979,-0.7407693109616655,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1980,-6.203067397407576,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1981,-5.989055811425352,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1982,-2.7909739553226043,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1983,-2.3427783479647046,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1984,-2.134028044323952,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1985,-1.079966386427898,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1986,-2.7004212047154983,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1987,-3.892073838269974,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1988,-1.2388660162791958,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1989,-1.7029944136760455,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1990,3.2203144839238744,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1991,-0.3410289129501456,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1992,-2.424941346824253,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1993,-3.4661782946214372,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1994,-4.264858984654532,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1995,-1.983460273509297,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1996,-2.487593011011501,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1997,-4.144680066291081,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1998,-4.84431604541959,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,1999,-4.212295061781863,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2000,-3.159922377036759,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2001,-1.4069478850018082,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2002,8.97078467784247,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2003,6.379906801770106,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2004,1.9505832431927332,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2005,2.6536314217907284,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2006,2.7944956426494287,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2007,2.1036160391818983,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2008,1.4994014161423428,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
ARG,Argentina,2009,2.178566961909904,,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),wdi
