country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1970,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1971,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1972,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1973,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1974,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1975,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1976,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1977,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1978,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1979,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1980,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1981,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1982,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1983,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1984,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1985,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1986,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1987,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1988,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1989,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1990,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1991,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1992,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1993,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1994,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1995,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1996,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1997,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1998,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,1999,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2000,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2001,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2002,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2003,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2004,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2005,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2006,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2007,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2008,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2009,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2010,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2011,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2012,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2013,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2014,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2015,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2016,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2017,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2018,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2019,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2020,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
ARG,Argentina,2021,0,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
FRA,France,1970,161746518.132586,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
FRA,France,1971,160160362.71361,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
FRA,France,1972,193624709.631503,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
FRA,France,1973,310784671.092423,,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),wdi,false
