country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1990,3334800000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1991,9059800000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1992,12573700000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1993,18956200000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1994,20920700000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1995,20782800000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1996,22239500000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1997,25449700000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1998,26996600000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,1999,25732900000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2000,27347800000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2001,25055700000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2002,30692100000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2003,47059282177.48,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2004,63553873916.38,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2005,76331000000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2006,92200500000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2007,111658500000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2008,153108100000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2009,154531600000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2010,213581700000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2011,275943500000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2012,341684800000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2013,416961600000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2014,577467060000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2015,734578650000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2016,995383800000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2017,1166188900000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2018,1443730340466.63,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2019,2240352941993.89,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2020,2913659861655.14,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2021,5241740478320.05,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2022,9162741738088.19,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2023,19104011143297.1,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
ARG,Argentina,2024,60897772423722,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1972,29224476604.4116,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1973,32029538521.5799,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1974,39514785267.9368,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1975,41801520526.4979,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1976,51360073907.2836,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1977,55964034227.8533,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1978,63647464696.6188,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1979,74989671579.0822,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1980,87155103154.6275,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1981,98771718268.1182,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1982,114855089586.665,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1983,126486949601.879,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1984,138347483142.95,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1985,148896955135.779,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1986,160147692607.9,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1987,170089350369.003,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1988,177756468792.924,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1989,188515710633.471,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1990,197373913229.068,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1991,206531220796.485,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1992,208855153615.252,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1993,209968031441.085,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1994,225167198459.655,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1995,237864900000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1996,256029900000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1997,273475600000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1998,312011900000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,1999,331868600000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,2000,346727500000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,2001,360534500000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
FRA,France,2002,359293100000,,GC.TAX.TOTL.CN,Tax revenue (current LCU),wdi,false
